date,away_team,a_team_name,R_A,home_team,h_team_name,R_H,Ganador_Pitcher,Perdedor_Pitcher,Salvado_Pitcher,ganador
2025-08-12,TBR,Tampa Bay Rays,0,OAK,Athletics,6,Jacob Lopez,Shane Baz,NotApplyed,1
2025-08-14,SEA,Seattle Mariners,3,BAL,Baltimore Orioles,5,Tomoyuki Sugano,Logan Evans,Dietrich Enns,1
2025-08-14,CHC,Chicago Cubs,1,TOR,Toronto Blue Jays,2,Max Scherzer,Matthew Boyd,Jeff Hoffman,1
2025-08-14,MIA,Miami Marlins,4,CLE,Cleveland Guardians,9,Tanner Bibee,Edward Cabrera,Cade Smith,1
2025-08-14,PHI,Philadelphia Phillies,2,WSN,Washington Nationals,3,Shinnosuke Ogasawara,Jesús Luzardo,Cole Henry,1
2025-08-14,ATL,Atlanta Braves,4,NYM,New York Mets,3,Bryce Elder,Ryan Helsley,Raisel Iglesias,0
2025-08-14,DET,Detroit Tigers,4,MIN,Minnesota Twins,3,Rafael Montero,Erasmo Ramírez,NotApplyed,0
2025-08-14,ARI,Arizona Diamondbacks,8,COL,Colorado Rockies,2,Eduardo Rodríguez,Bradley Blalock,NotApplyed,0
2025-08-16,PIT,Pittsburgh Pirates,1,CHC,Chicago Cubs,3,Andrew Kittredge,Evan Sisk,Brad Keller,1
2025-08-16,TEX,Texas Rangers,2,TOR,Toronto Blue Jays,14,Eric Lauer,Patrick Corbin,NotApplyed,1
2025-08-16,PHI,Philadelphia Phillies,0,WSN,Washington Nationals,2,Cade Cavalli,Taijuan Walker,Jose A. Ferrer,1
2025-08-16,MIA,Miami Marlins,5,BOS,Boston Red Sox,7,Brayan Bello,Cal Quantrill,Aroldis Chapman,1
2025-08-16,SEA,Seattle Mariners,1,NYM,New York Mets,3,Nolan McLean,Bryan Woo,Edwin Díaz,1
2025-08-16,MIL,Milwaukee Brewers,6,CIN,Cincinnati Reds,5,Trevor Megill,Joe La Sorsa,Nick Mears,0
2025-08-16,ATL,Atlanta Braves,10,CLE,Cleveland Guardians,1,Joey Wentz,Slade Cecconi,Hunter Stratton,0
2025-08-16,BAL,Baltimore Orioles,4,HOU,Houston Astros,5,Enyel De Los Santos,Keegan Akin,NotApplyed,1
2025-08-16,CHW,Chicago White Sox,2,KCR,Kansas City Royals,6,Daniel Lynch IV,Sean Burke,NotApplyed,1
2025-08-16,DET,Detroit Tigers,8,MIN,Minnesota Twins,5,Casey Mize,Brooks Kriske,Kyle Finnegan,0
2025-08-16,NYY,New York Yankees,12,STL,St. Louis Cardinals,8,Max Fried,Sonny Gray,David Bednar,0
